"Table 2.  Number of public high school graduates, by race/ethnicity, gender, and state:  School years 1992–93 through 2008–09",,,,,,,,,,,,,,,,,,,,,,,
,,,Number of graduates,,,,,,,,,,,,,,,,,,,,
,School,,Total1,,American Indian/Alaska Native,,,,Asian/Pacific Islander,,,,Hispanic,,,,Black,,,,White,,
State,year,,,,Total2,Male,Female,,Total2,Male,Female,,Total2,Male,Female,,Total2,Male,Female,,Total2,Male,Female
     Reporting states3,1992–93,," 2,226,016 ",, ‡ , — , — ,, ‡ , — , — ,, ‡ , — , — ,, ‡ , — , — ,, ‡ , — , — 
,1993–94,," 2,234,649 ",," 14,836 ", — , — ,," 90,452 ", — , — ,," 196,301 ", — , — ,," 278,524 ", — , — ,," 1,501,723 ", — , — 
,1994–95,," 2,220,849 ",," 17,956 ", — , — ,," 94,470 ", — , — ,," 197,254 ", — , — ,," 274,220 ", — , — ,," 1,479,201 ", — , — 
,1995–96,," 2,273,541 ",," 20,127 ", — , — ,," 87,801 ", — , — ,," 209,182 ", — , — ,," 266,179 ", — , — ,," 1,517,472 ", — , — 
,1996–97,," 2,273,109 ",," 19,965 ", — , — ,," 90,222 ", — , — ,," 207,684 ", — , — ,," 264,466 ", — , — ,," 1,504,174 ", — , — 
,1997–98,," 2,358,403 ",, ‡ , — , — ,, ‡ , — , — ,, ‡ , — , — ,, ‡ , — , — ,, ‡ , — , — 
,1998–99,," 2,440,048 ",, ‡ , ‡ , ‡ ,, ‡ , ‡ , ‡ ,, ‡ , ‡ , ‡ ,, ‡ , ‡ , ‡ ,, ‡ , ‡ , ‡ 
,1999–2000,," 2,485,630 ",," 22,592 ", ‡ , ‡ ,," 110,192 ", ‡ , ‡ ,," 263,996 ", ‡ , ‡ ,," 299,381 ", ‡ , ‡ ,," 1,643,465 ", ‡ , ‡ 
,2000–01,," 2,553,844 ",," 21,609 ", ‡ , ‡ ,," 116,160 ", ‡ , ‡ ,," 268,338 ", ‡ , ‡ ,," 309,528 ", ‡ , ‡ ,," 1,650,267 ", ‡ , ‡ 
,2001–02,," 2,569,200 ",," 23,105 ", ‡ , ‡ ,," 124,412 ", ‡ , ‡ ,," 283,365 ", ‡ , ‡ ,," 314,485 ", ‡ , ‡ ,," 1,686,520 ", ‡ , ‡ 
,2002–03,," 2,621,534 ",," 24,797 "," 12,018 "," 12,779 ",," 130,556 "," 64,720 "," 65,837 ",," 305,053 "," 144,921 "," 160,132 ",," 324,917 "," 147,732 "," 177,185 ",," 1,723,793 "," 859,115 "," 864,678 "
,2003–04,," 2,719,947 ",," 27,639 "," 12,963 "," 13,535 ",," 134,524 "," 60,541 "," 61,721 ",," 337,750 "," 152,394 "," 167,794 ",," 345,941 "," 147,179 "," 175,167 ",," 1,823,986 "," 828,988 "," 831,730 "
,2004–05,," 2,548,128 ",," 27,051 "," 13,042 "," 13,671 ",," 124,520 "," 61,960 "," 62,192 ",," 339,412 "," 162,027 "," 177,061 ",," 333,969 "," 147,282 "," 175,205 ",," 1,670,433 "," 820,881 "," 825,603 "
,2005–06,," 2,649,594 ",," 28,060 ", ‡ , ‡ ,," 144,675 ", ‡ , ‡ ,," 377,499 ", ‡ , ‡ ,," 335,746 ", ‡ , ‡ ,," 1,634,143 ", ‡ , ‡ 
,2006–07,," 2,893,045 ",," 29,976 "," 13,922 "," 15,121 ",," 140,267 "," 68,835 "," 67,975 ",," 380,016 "," 178,388 "," 194,703 ",," 375,524 "," 169,653 "," 203,616 ",," 1,734,065 "," 845,863 "," 851,825 "
,2007–08,," 3,001,337 ",," 32,036 "," 15,150 "," 16,557 ",," 159,410 "," 78,792 "," 77,895 ",," 448,887 "," 211,782 "," 231,550 ",," 429,840 "," 189,359 "," 225,748 ",," 1,898,367 "," 923,988 "," 929,488 "
